Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"de Melo, Natalia R; Wade, Christopher G; Šibalić, Nikola; Kondo, Jorge M; Adams, Charles S; Weatherill, Kevin J; ",Intrinsic optical bistability in a strongly driven Rydberg ensemble,Physical Review A,93,6,063863,2016,APS
"Wade, Christopher G; Marcuzzi, Matteo; Levi, Emanuele; Kondo, Jorge M; Lesanovsky, Igor; Adams, Charles S; Weatherill, Kevin J; ",Terahertz-driven phase transition applied as a room-temperature terahertz detector,arXiv preprint arXiv:1709.00262,,,,2017,
"Knappe, Svenja A; Zentile, MA; Andrews, Rebecca; Weller, L; Adams, CS; Hughes, IG; ",The hyperfine Paschen-Back Faraday effect,,,,,2014,
"Pritchard, Jonathan D; Weatherill, Kevin J; Adams, Charles S; ",Nonlinear optics using cold Rydberg atoms,Annual Review of Cold Atoms and Molecules: Volume 1,,,301-350,2013,World Scientific
"Hughes, IG; Adams, CS; Bimbard, E; Keaveney, J; Whiting, DJ; Zentile, MA; Sargsyan, A; Sarkisyan, D; ",Absolute absorption and dispersion in dense alkali-metal thermal vapours,,,,,,
"Sarkisyan, D; Sargsyan, A; Keaveney, J; Adams, CS; ",High-contrast atomic dark resonances formed in a ladder system of rubidium atoms in submicron structures,Journal of Experimental and Theoretical Physics,119,1,8-14,2014,Springer
"Sakellari, E; Proukakis, NP; Leadbeater, M; Adams, CS; ",Josephson tunnelling of a phase-imprinted Bose–Einstein condensate in a time-dependent double-well potential,New Journal of Physics,6,1,42,2004,IOP Publishing
"Whiting, Daniel J; Bimbard, Erwan; Keaveney, James; Zentile, Mark A; Adams, Charles S; Hughes, Ifan G; ",Electromagnetically induced absorption in a nondegenerate three-level ladder system,Optics letters,40,18,4289-4292,2015,Optical Society of America
"Jackson, B; McCann, JF; Adams, CS; ",Vortex formation in dilute inhomogeneous Bose-Einstein condensates,Physical Review Letters,80,18,3903,1998,APS
"Wetherill, Kevin; Adams, Charles; ",Method and Apparatus for Terahertz or Microwave Imaging,,,,,2021,Google Patents
"Liu, Zhenning; Adams, Charles S; ",Experimental tests of Bertrand’s question and the Duhem–Quine problem,European Journal of Physics,40,6,065801,2019,IOP Publishing
"Whittaker, Kate A; Keaveney, James; Hughes, Ifan G; Adams, Charles S; ",Hilbert transform: Applications to atomic spectra,Physical Review A,91,3,032513,2015,APS
"Nilse, Lars; Davies, Hillary J; Adams, Charles S; ",Synchronous tuning of extended cavity diode lasers: the case for an optimum pivot point,Applied optics,38,3,548-553,1999,Optica Publishing Group
"Adams, Charles; ",Stress Dependent Behaviour of InGaAsP Semiconductor Diode Lasers,,,,,1988,
"Wade, Christopher G; Šibalić, Nikola; Keaveney, James; Adams, Charles S; Weatherill, Kevin J; ",Probing an excited-state atomic transition using hyperfine quantum-beat spectroscopy,Physical Review A,90,3,033424,2014,APS
"Winiecki, T; Adams, CS; ",Motion of an object through a dilute quantum fluid,arXiv preprint cond-mat/0006125,,,,2000,
"Zentile, Mark A; Keaveney, James; Mathew, Renju S; Whiting, Daniel J; Adams, Charles S; Hughes, Ifan G; ",Optimization of atomic Faraday filters in the presence of homogeneous line broadening,"Journal of Physics B: Atomic, Molecular and Optical Physics",48,18,185001,2015,IOP Publishing
"Parker, NG; Proukakis, NP; Adams, CS; ",Dark soliton decay due to trap anharmonicity in atomic Bose-Einstein condensates,Physical Review A,81,3,033606,2010,APS
"Paredes-Barato, D; Busche, H; Maxwell, D; Szwer, DJ; Jones, MPA; Adams, CS; ",Photonic phase-gate using Rydberg atoms and microwaves,International Quantum Electronics Conference,,,IB_P_15,2013,Optical Society of America
"Benhemou, Asmae; Angkhanawin, Toonyawat; Adams, Charles S; Browne, Dan E; Pachos, Jiannis K; ",Universality of Z3 parafermions via edge mode interaction and quantum simulation of topological space evolution with Rydberg atoms,arXiv preprint arXiv:2111.04132,,,,2021,
"Cutler, Tom F; Hamlyn, William J; Renger, Jan; Whittaker, Kate A; Pizzey, Danielle; Hughes, Ifan G; Sandoghdar, Vahid; Adams, Charles S; ",Nanostructured alkali-metal vapor cells,Physical Review Applied,14,3,034054,2020,APS
"Winiecki, T; McCann, JF; Adams, CS; ",Pressure drag in linear and nonlinear quantum fluids,Physical review letters,82,26,5186,1999,APS
"Ates, C; Lesanovsky, I; Adams, CS; Weatherill, KJ; ",Fast and quasideterministic single ion source from a dipole-blockaded atomic ensemble,Physical Review Letters,110,21,213003,2013,APS
"Mohapatra, AK; Jackson, TR; Adams, CS; ",Publisher's copyright statement: cO 2007 by The American Physical Society. All rights reserved. Additional information,,,,,2008,
"Carr, Christopher; Adams, Charles S; Weatherill, Kevin J; ",Polarization spectroscopy of an excited state transition,Optics Letters,37,1,118-120,2012,Optica Publishing Group
"Griffin, PF; Weatherill, KJ; Macleod, SG; Potvliege, RM; Adams, CS; ",LOADING OF SELECTED SITES IN AN OPTICAL LATTICE USING LIGHT–SHIFT ENGINEERING,Laser Spectroscopy,,,307-314,2005,World Scientific
"Weatherill, KJ; Pritchard, JD; Griffin, PF; Dammalapati, U; Adams, CS; Riis, E; ",A versatile and reliably reusable ultrahigh vacuum viewport,Review of Scientific Instruments,80,2,026105,2009,American Institute of Physics
"Adams, Charles; ",Atom gyroscope measures tiny rotations,Physics World,10,6,24,1997,IOP Publishing
"Davies, HJ; Adams, CS; ",Mean-field model of a weakly interacting Bose condensate in a harmonic potential,Physical Review A,55,4,R2527,1997,APS
"Cugliandolo, Leticia F; Lahaye, Thierry; Adams, Charles S; Weidemüller, Matthias; Browaeys, Antoine; Porto, Trey; ","Current Trends in Atomic Physics: Lecture Notes of the Les Houches Summer School: Vol. 107, 4-29 July 2016",,,,,2019,Oxford University Press
"Leadbeater, M; Winiecki, T; Adams, CS; ",Effect of condensate depletion on the critical velocity for vortex nucleation in quantum fluids,"Journal of Physics B: Atomic, Molecular and Optical Physics",36,8,L143,2003,IOP Publishing
"Pritchard, JD; Gauguet, A; Weatherill, KJ; Jones, MPA; Adams, CS; ",Cooperative optical non-linearity due to dipolar interactions in an ultra-cold Rydberg ensemble,,,,,,
"Jundt, G; Purves, GT; Adams, CS; Hughes, IG; ",View Profile,,,,,,
"Adams, Charles; ",Optical transistor flips on with one photon,Physics,7,,80,2014,APS
"Sigel, Martin; Pfau, Tilman; Adams, Charles S; Kurtsiefer, Christian; Seifert, Werner; Heine, Claus; Mlynek, Jürgen; Kaiser, Robin; Aspect, Alain; ",Optical elements for atoms: a beamsplitter and a mirror,Fundamentals of Quantum Optics III,,,3-20,1993,Springer
"Parker, NG; Proukakis, NP; Barenghi, CF; Adams, CS; ",Dynamical instability of a dark soliton in a quasi-one-dimensional Bose–Einstein condensate perturbed by an optical lattice,"Journal of Physics B: Atomic, Molecular and Optical Physics",37,7,S175,2004,IOP Publishing
"Reed, DJ; Šibalić, N; Whiting, DJ; Kondo, Jorge Massayuki; Adams, CS; Weatherill, KJ; ",Low-drift Zeeman shifted atomic frequency reference,OSA Continuum,1,1,4-12,2018,Optica Publishing Group
"Parker, NG; Proukakis, NP; Barenghi, CF; Adams, CS; ",Durham Research Online 25 April 2008,,,,,2008,
"Ding, Dong-Sheng; Busche, Hannes; Shi, Bao-Sen; Guo, Guang-Can; Adams, Charles S; ",Phase diagram and self-organising dynamics in a strongly-interacting thermal Rydberg ensemble,arXiv preprint arXiv:1606.08791,,,,2016,
"Knappe, Svenja A; Weller, L; Kleinbach, KS; Zentile, MA; Adams, CS; Hughes, IG; ",Absolute absorption and dispersion of a rubidium vapour in the hyperfine Paschen-Back regime,,,,,2012,
"Winiecki, Thomas; Adams, CS; ",Time-dependent Ginzburg-Landau simulations of the voltage-current characteristic of type-II superconductors with pinning,Physical Review B,65,10,104517,2002,APS
"Parker, NG; Martin, AM; Cornish, SL; Adams, CS; ",Collisions between solitary waves of three-dimensional Bose-Einstein condensates,arXiv preprint cond-mat/0603059,,,,2006,
"Šibalić, Nikola; Adams, Charles S; ",Rydberg physics,,,,,2018,IOP Publishing
"Tanasittikosol, M; Pritchard, JD; Maxwell, D; Gauguet, Alexandre; Weatherill, KJ; Potvliege, RM; Adams, CS; ",Microwave dressing of Rydberg dark states,"Journal of Physics B: Atomic, Molecular and Optical Physics",44,18,184020,2011,IOP Publishing
"Pritchard, JD; Gauguet, Alexandre; Weatherill, KJ; Adams, CS; ",Optical non-linearity in a dynamical Rydberg gas,"Journal of Physics B: Atomic, Molecular and Optical Physics",44,18,184019,2011,IOP Publishing
"Weatherill, KJ; Pritchard, JD; Abel, RP; Bason, MG; Mohapatra, AK; Adams, CS; ",Electromagnetically induced transparency of an interacting cold Rydberg ensemble,"Journal of Physics B: Atomic, Molecular and Optical Physics",41,20,201002,2008,IOP Publishing
"Wade, Christopher G; Marcuzzi, Matteo; Levi, Emanuele; Kondo, Jorge M; Lesanovsky, Igor; Adams, Charles S; Weatherill, Kevin J; ",A terahertz-driven non-equilibrium phase transition in a room temperature atomic vapour,Nature communications,9,1,1-7,2018,Nature Publishing Group
"Keaveney, James; Hamlyn, William J; Adams, Charles S; Hughes, Ifan G; ",A single-mode external cavity diode laser using an intra-cavity atomic Faraday filter with short-term linewidth< 400 kHz and long-term stability of< 1 MHz,Review of Scientific Instruments,87,9,095111,2016,AIP Publishing LLC
"Šibalić, Nikola; Pritchard, Jonathan D; Adams, Charles S; Weatherill, Kevin J; ",ARC: An open-source library for calculating properties of alkali Rydberg atoms,Computer Physics Communications,220,,319-331,2017,Elsevier
"Anderson, Jason; Gillen, Catherine; Wright, Jacqueline; Adams, Charles S; Hughes, Ifan G; ",Optical rotation of white light,American Journal of Physics,88,3,247-251,2020,American Association of Physics Teachers
"Downes, Lucy; Whiting, Daniel; Wade, Chris; Sibalıc, Nikola; Adams, Charles; Weatherill, Kevin; ",Terahertz sensing and imaging using Rydberg atoms,arXiv preprint arXiv:1709.00262,,,,2017,
"Haendel, S; Wiles, TP; Marchant, AL; Hopkins, SA; Adams, CS; Cornish, SL; ",Magnetic merging of ultracold atomic gases of {sup 85} Rb and {sup 87} Rb,Physical Review. A,83,5,,2011,
"Tanasittikosol, M; Bason, MG; Sargsyan, A; Mohapatra, AK; Sarkisyan, D; Potvliege, RM; Adams, CS; ",Enhanced electric field sensitivity of rf-dressed Rydberg dark states,"APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts",55,5,OPM. 11,2010,
"Jackson, B; Adams, CS; ",Damping and revivals of collective oscillations in a finite-temperature model of trapped Bose-Einstein condensation,Physical Review A,63,5,053606,2001,APS
"Sargsyan, Armen; Sarkisyan, D; Adams, Charles; Weatherill, Kevin; ",Three-photon electromagnetically induced transparency using Rydberg states,,,,,,
"Adams, Charles; ",Controlled photon-photon interactions using Rydberg polaritons,"APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts",,,H4. 004,2014,
"Parker, NG; Proukakis, NP; Adams, CS; ",Dark soliton dynamics in confined Bose-Einstein condensates,Focus on soliton research. New York: Nova Science Publishing,,,1-49,2004,
"West, AD; Weatherill, KJ; Adams, CS; Hughes, IG; Hayward, T; Schrefl, T; Allwood, D; ",Interactions of cold atoms with domain walls in magnetic nanowires,,,,,,
"Adams, Charles; McCann, Jim; ",Quantum fluids create a stir in the lab,Physics World,13,1,20,2000,IOP Publishing
"Weller, Lee; Bettles, Robert J; Siddons, Paul; Adams, Charles S; Hughes, Ifan G; ",Absolute absorption on the rubidium D1 line including resonant dipole–dipole interactions,"Journal of Physics B: Atomic, Molecular and Optical Physics",44,19,195006,2011,IOP Publishing
"Whittaker, KA; Keaveney, J; Hughes, IG; Sargsyan, A; Sarkisyan, D; Adams, CS; ",Optical response of gas-phase atoms at less than λ/80 from a dielectric surface,Physical Review Letters,112,25,253201,2014,APS
"Lee, HJ; Adams, CS; Kasevich, M; Chu, S; ",Raman cooling of atoms in an optical dipole trap,Physical review letters,76,15,2658,1996,APS
"Keaveney, James; Sargsyan, Armen; Krohn, Ulrich; Hughes, Ifan G; Sarkisyan, David; Adams, Charles S; ",Cooperative Lamb shift in an atomic vapor layer of nanometer thickness,Physical review letters,108,17,173601,2012,APS
"Urvoy, A; Carr, C; Ritter, R; Adams, CS; Weatherill, KJ; Löw, R; ",Optical coherences and wavelength mismatch in ladder systems,"Journal of Physics B: Atomic, Molecular and Optical Physics",46,24,245001,2013,IOP Publishing
"Seifert, W; Adams, CS; Balykin, VI; Heine, C; Ovchinnikov, Yu; Mlynek, J; ",Reflection of metastable argon atoms from an evanescent wave,Physical Review A,49,5,3814,1994,APS
"Abel, Richard P; Raitzsch, Ulrich; Siddons, Paul; Hughes, Ifan G; Adams, Charles S; ",Faraday filtering of Raman light in an isotopically pure alkali metal vapor,arXiv preprint arXiv:0904.4142,,,,2009,
"Barredo, Daniel; Labuhn, Henning; Ravets, Sylvain; Lahaye, Thierry; Browaeys, Antoine; Adams, Charles S; ",Coherent excitation transfer in a spin chain of three Rydberg atoms,Physical review letters,114,11,113002,2015,APS
"Siddons, Paul; Adams, Charles S; Hughes, Ifan G; ",Off-resonance absorption and dispersion in a Doppler-broadened medium,arXiv preprint arXiv:0905.1204,,,,2009,
"Weller, Lee; Dalton, Toryn; Bettles, Robert J; Siddons, Paul; Adams, Charles S; Hughes, Ifan G; ",Atom-light interactions at high densities and high magnetic fields,International Conference on Ultrafast Structural Dynamics,,,JT2A. 12,2012,Optical Society of America
"Carr, Christopher; Ritter, Ralf; Wade, CG; Adams, Charles S; Weatherill, Kevin J; ",Nonequilibrium phase transition in a dilute Rydberg ensemble,Physical review letters,111,11,113901,2013,APS
"Peyrot, T; Sortais, Yvan RP; Greffet, J-J; Browaeys, A; Sargsyan, A; Keaveney, J; Hughes, IG; Adams, CS; ",Optical transmission of an atomic vapor in the mesoscopic regime,Physical Review Letters,122,11,113401,2019,APS
"Abel, Richard P; Krohn, Ulrich; Siddons, Paul; Hughes, Ifan G; Adams, Charles S; ",Faraday dichroic beam splitter for Raman light using an isotopically pure alkali-metal-vapor cell,Optics letters,34,20,3071-3073,2009,Optica Publishing Group
"Maxwell, D; Szwer, DJ; Paredes-Barato, D; Busche, H; Pritchard, JD; Gauguet, Alexandre; Jones, MPA; Adams, CS; ",Microwave control of the interaction between two optical photons,Physical Review A,89,4,043827,2014,APS
"Maxwell, James L; Hughes, Ifan G; Adams, Charles S; ",White-light versus discrete wavelength measurements of Faraday dispersion and the Verdet constant,European Journal of Physics,43,1,015302,2021,IOP Publishing
"Keaveney, James; Hughes, Ifan G; Sargsyan, A; Sarkisyan, D; Adams, CS; ",Maximal refraction and superluminal propagation in a gaseous nanolayer,Physical review letters,109,23,233001,2012,APS
"Downes, Lucy A; MacKellar, Andrew R; Whiting, Daniel J; Bourgenot, Cyril; Adams, Charles S; Weatherill, Kevin J; ",Ultra-high-speed terahertz imaging using atomic vapour,arXiv preprint arXiv:1903.01308,,,,2019,
"Ribeiro, Sofia; Cutler, Thomas F; Adams, Charles S; Gardiner, Simon A; ",Collective effects in the photon statistics of thermal atomic ensembles,Physical Review A,104,1,013719,2021,APS
"Whittaker, Kate A; Keaveney, James; Hughes, Ifan G; Adams, Charles S; ","Hilbert transform: Applications to atomic spectra (vol 91, 032513, 2015)",PHYSICAL REVIEW A,92,5,,2015,"AMER PHYSICAL SOC ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA"
"Weatherill, KJ; Pritchard, JD; Able, RP; Bason, MG; Mohapatra, AK; Adams, CS; ",Light interactions in Rydberg ensembles,European Quantum Electronics Conference,,,EF_P13,2009,Optical Society of America
"Adams, CS; Maker, GT; Ferguson, AI; ",FM operation of Nd: YAG lasers with standing wave and ring cavity configurations,Optics communications,76,2,127-130,1990,Elsevier
"Bettles, Robert J; Gardiner, Simon A; Adams, Charles S; ",Enhanced optical cross section via collective coupling of atomic dipoles in a 2D array,Physical review letters,116,10,103602,2016,APS
"Adams, Charles; ",Vortices multiply in superfluid helium-II,Physics World,14,2,21,2001,IOP Publishing
"Siddons, Paul; Weller, Lee; Adams, Charles S; Hughes, Ifan G; ",Optical control of the Faraday Effect in a Slow-light Medium,Slow and Fast Light,,,SLMB3,2011,Optical Society of America
"Jackson, B; McCann, JF; Adams, CS; ",Vortex rings and mutual drag in trapped Bose-Einstein condensates,Physical Review A,60,6,4882,1999,APS
"Adams, CS; Cox, SG; Riis, E; Arnold, AS; Adamson, SO; Dement’ev, AI; Maleev, VV; ",Acquaviva S and De Giorgi ML: Fast photography of XeCl laser-induced plasma of graphite in vacuum and in nitrogen atmosphere 247 Adachi J: see Hosaka K 4617,J. Phys. B: At. Mol. Opt. Phys,36,,4913-4938,2003,
"Peyrot, Tom; Keaveney, James; van RP Sortais, Y; Sargsyan, Armen; Hughes, IG; Greffet, JJ; Adams, CS; Browaeys, Antoine; ",Atomic vapor confined in a nanoscale geometry: from mesoscopic to collective effects.,European Quantum Electronics Conference,,,ea_2_5,2019,Optical Society of America
"Siddons, Paul; Adams, Charles S; Ge, Chang; Hughes, Ifan G; ",Absolute absorption on rubidium D lines: comparison between theory and experiment,"Journal of Physics B: Atomic, Molecular and Optical Physics",41,15,155004,2008,IOP Publishing
"Kay, Alastair; Pachos, Jiannis K; Adams, Charles S; ",Graph-state preparation and quantum computation with global addressing of optical lattices,Physical Review A,73,2,022310,2006,APS
"Soldan, Pavel; Cvitas, Marko T; Hutson, Jeremy M; Adams, Charles S; ",Interactions of cold atoms and molecules,,,,,,
"Winiecki, T; Adams, CS; ","Vortex dynamics, pinning, and critical currents in a Ginzburg-Landau type-II superconductor",arXiv preprint cond-mat/0105586,,,,2001,
"Winiecki, T; Jackson, B; McCann, JF; Adams, CS; ",Vortex shedding and drag in dilute Bose-Einstein condensates,"Journal of Physics B: atomic, molecular and optical physics",33,19,4069,2000,IOP Publishing
"Jones, Matthew; Boddy, Danielle; Sadler, Daniel; Lochead, Graham; Bounds, Alistair; Adams, Charles; Bridge, Elizabeth; ",Spin squeezing and supersolids using Rydberg-dressed strontium atoms,"APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts",,,T3. 008,2014,
"Bridge, EM; Boddy, D; Sadler, DP; Bounds, AD; Adams, CS; Jones, MPA; Gil, LIR; Mukherjee, R; Pohl, T; ",Rydberg spin-squeezing for a strontium optical lattice clock,2014 European Frequency and Time Forum (EFTF),,,439-442,2014,IEEE
"Pfau, Tilman; Schnetz, Andreas; Adams, Charles S; Kurtsiefer, Christian; Sigel, Martin; Mlynek, Jürgen; ",Diffraction of atoms from optical potentials,Quantum Interferometry-Proceedings Of The Adrratico Conferencer,,,57,1994,World Scientific
"Abel, RP; Mohapatra, AK; Bason, MG; Pritchard, JD; Weatherill, KJ; Raitzsch, U; Adams, CS; ",Laser frequency stabilization to highly excited state transitions using electromagnetically induced transparency in a cascade system,arXiv preprint arXiv:0811.2183,,,,2008,
"Whittaker, Kate A; Keaveney, J; Hughes, IG; Sargysyan, A; Sarkisyan, D; Gmeiner, B; Sandoghdar, V; Adams, CS; ",Interrogation and fabrication of nm scale hot alkali vapour cells,Journal of Physics: Conference Series,635,12,122006,2015,IOP Publishing
"Tanasittikosol, M; Carr, C; Adams, CS; Weatherill, KJ; ",Sub-natural linewidths in excited-state spectroscopy,arXiv preprint arXiv:1202.1972,,,,2012,
"Badger, SD; Hughes, IG; Adams, CS; ",Hyperfine effects in electromagnetically induced transparency,"Journal of Physics B: Atomic, Molecular and Optical Physics",34,22,L749,2001,IOP Publishing
"Weller, Lee; Kleinbach, KS; Zentile, Mark A; Knappe, S; Hughes, IG; Adams, CS; ",Optical isolator using an atomic vapor in the hyperfine Paschen–Back regime,Optics letters,37,16,3405-3407,2012,Optica Publishing Group
"Abel, RP; Carr, C; Krohn, U; Adams, CS; ",Electrometry near a dielectric surface using Rydberg electromagnetically induced transparency,Physical Review A,84,2,023408,2011,APS
"Carr, Christopher; Tanasittikosol, Monsit; Sargsyan, Armen; Sarkisyan, David; Adams, Charles S; Weatherill, Kevin J; ",Three-photon electromagnetically induced transparency using Rydberg states: erratum,Optics Letters,38,11,1853-1853,2013,Optical Society of America
"Leadbeater, M; Samuels, DC; Barenghi, CF; Adams, CS; ",Decay of superfluid turbulence via Kelvin-wave radiation,Physical Review A,67,1,015601,2003,APS
"Parker, NG; Proukakis, NP; Leadbeater, M; Adams, CS; ",Soliton-sound interactions in quasi-one-dimensional Bose-Einstein condensates,Physical review letters,90,22,220401,2003,APS
"Keaveney, James; Sargsyan, Armen; Krohn, Ulrich; Gontcharov, Julia; Hughes, Ifan G; Sarkisyan, David; Adams, Charles S; ",Optical transmission through a dipolar layer,arXiv preprint arXiv:1109.3669,,,,2011,
"Davies, HJ; Szymaniec, K; Adams, CS; ",Cold-atom accumulation using an optical trap door,Physical Review A,62,1,013412,2000,APS
"Šibalic, Nikola; Adams, Charles S; ",Rydberg physics,Rydberg Physics,,,1-27,2018,
"Jones, Matthew; Adams, Charles; ",Dealing with a climate emergency,Physics World,32,10,25,2019,IOP Publishing
"Adams, CS; ",Contactless photon-photon interactions,,,,,,
"Adams, CS; ","Dipolar QED: an alternative paradigm for quantum optics, sensors, and non-equilibrium dynamics",Photonica2015: V International School and Conference and Photonics,,,10,2016,Institut za nuklearne nauke VINČA
"Jackson, B; McCann, JF; Adams, CS; ",Dissipation and vortex creation in Bose-Einstein condensed gases,Physical Review A,61,5,051603,2000,APS
"LEADHEATER, M; SAMUELS, DC; BARENGHI, CF; ADAMS, CS; ",Decay of superfluid turbulence via Kelvin-wave radiation,Physical review. A,67,1,015601.1-015601.4,2003,American Physical Society
"Christaller, Florian; Mäusezahl, Max; Moumtsilis, Felix; Belz, Annika; Kübler, Harald; Alaeian, Hadiseh; Adams, Charles S; Löw, Robert; Pfau, Tilman; ",Transient Density-Induced Dipolar Interactions in a Thin Vapor Cell,Physical Review Letters,128,17,173401,2022,APS
"Carr, Christopher; Tanasittikosol, Monsit; Sargsyan, Armen; Sarkisyan, David; Adams, Charles S; Weatherill, Kevin J; ",Three-photon electromagnetically induced transparency using Rydberg states,Optics letters,37,18,3858-3860,2012,Optica Publishing Group
"Mohapatra, AK; Jackson, TR; Adams, CS; ",Coherent optical detection of highly excited Rydberg states using electromagnetically induced transparency,Physical review letters,98,11,113003,2007,APS
"Ogden, Thomas P; Whittaker, KA; Keaveney, J; Wrathmall, SA; Adams, CS; Potvliege, RM; ",Quasisimultons in thermal atomic vapors,Physical Review Letters,123,24,243604,2019,APS
"Adams, CS; Riis, E; ",Laser cooling and trapping of neutral atoms,Progress in quantum electronics,21,1,1-79,1997,Elsevier
"Adams, Charles; Hughes, Ifan; ",Laser Cooling and Trapping,Handbook of Laser Technology and Applications,,,127-138,2021,CRC Press
"Lochead, G; Boddy, D; Sadler, DP; Adams, CS; Jones, MPA; ",Number-resolved imaging of excited-state atoms using a scanning autoionization microscope,Physical Review A,87,5,053409,2013,APS
"Jiao, Yuechun; Spong, Nicholas LR; Hughes, Oliver DW; So, Chloe; Ilieva, Teodora; Weatherill, Kevin J; Adams, Charles S; ",Single-photon stored-light Ramsey interferometry using Rydberg polaritons,Optics Letters,45,20,5888-5891,2020,Optica Publishing Group
"Downes, Lucy; MacKellar, Andrew R; Bourgenot, Cyril; Adams, Charles S; Weatherill, Kevin; ","Full-field, Room-temperature Terahertz Imaging at kilohertz Frame Rates using Atomic Vapour",The European Conference on Lasers and Electro-Optics,,,cc_3_6,2019,Optical Society of America
"Parker, NG; Jackson, B; Martin, AM; Adams, CS; ",Vortices in Bose-Einstein condensates: theory,Emergent Nonlinear Phenomena in Bose-Einstein Condensates,,,173-189,2008,Springer
"Pritchard, JD; Gauguet, A; Weatherill, KJ; Adams, CS; ",Optical non-linearity in an attractive Rydberg gas,arXiv preprint arXiv:1102.0669,,,,2011,
"Proukakis, NP; Parker, NG; Barenghi, CF; Adams, CS; ",Coupling between topological excitations and the background sound field in atomic Bose-Einstein condensates,LASER PHYSICS-LAWRENCE-,14,2,284-290,2004,INTERPERIODICA
"Siddons, Paul; Bell, Nia C; Cai, Yifei; Adams, Charles S; Hughes, Ifan G; ",A gigahertz-bandwidth atomic probe based on the slow-light Faraday effect,Nature Photonics,3,4,225-229,2009,Nature Publishing Group
